# patch	project	base_revision
bionic.patch	bionic	a82861b45d5c9872cbbda81b24237c6b086b90f9
bootable_recovery.patch	bootable/recovery	79c72262c4bbf1fa718d17e2380780e5703d26cc
build_make.patch	build/make	2a97be2a3c4241521bdf6d9ef649066af479677c
build_soong.patch	build/soong	475b9901a96db70a93852c9c40a98393582dfd33
device_lineage_sepolicy.patch	device/lineage/sepolicy	308f4e273f618a037133065d528f5ebdee4d49d2
device_phh_treble.patch	device/phh/treble	a5d5328f43b8d05a67dda385c66d7952a107d0e4
external_fastrpc.patch	external/fastrpc	418b791d679beb2078b579a3b6936cf330c41799
external_libncurses.patch	external/libncurses	2d87040ef56d93aa0ac4331fc3dfafdfdc5e9f8a
external_selinux.patch	external/selinux	6869d5ecc4f1f8eb3c48865b458f8327b58b0eba
frameworks_av.patch	frameworks/av	f7f07611f4e84bf8c8ff8a4c3848e21c6fe63e66
frameworks_base.patch	frameworks/base	f2b90df216e2870eeaa7bff06f1ee26956796c85
frameworks_libs_net.patch	frameworks/libs/net	b9ae1484e264c030549107704f61a8059e49bf14
frameworks_native.patch	frameworks/native	f992b5c25535551f8891cc619b3b2218dac1af8d
frameworks_opt_telephony.patch	frameworks/opt/telephony	5fd790282cca6e61a42892398beccee065ed6101
hardware_interfaces.patch	hardware/interfaces	f7debe7d71d05469014410110908211e0c294b93
packages_apps_Eleven.patch	packages/apps/Eleven	e9e8ae1bb10b86bec7a43dbcdd8072d67a89e9ae
packages_apps_Settings.patch	packages/apps/Settings	51ee6bbc2f2fcc4a4ceabf722163cfce3d2673d1
packages_apps_WallpaperPicker2.patch	packages/apps/WallpaperPicker2	335bf4b33100824fdfdc0a139af21ab1d6a5cb5d
packages_modules_Bluetooth.patch	packages/modules/Bluetooth	8a432a063d46f6e821de26e75462c2d28c74864f
packages_modules_Connectivity.patch	packages/modules/Connectivity	a751a5a6235ed5de7b2a6fad4ea76c6b4f9aedb5
packages_modules_Permission.patch	packages/modules/Permission	3e1192879428306b0161f54e252d1a73bf645dfa
system_bpf.patch	system/bpf	52121cd0ee9eb6a5624665d3cf8922f7244ef1cd
system_core.patch	system/core	35f54b9921623ce08f7a7f5a209895e38b7ddb01
system_extras.patch	system/extras	5cf17c20bc8fe2fea5531ec877ea825bab2bec7a
system_linkerconfig.patch	system/linkerconfig	45d040fd8ba22330c0ca61d2b803bd4f6cea6b7b
system_netd.patch	system/netd	967c341707b6bdc3f9af3386d2dcfe385e00a16a
system_nfc.patch	system/nfc	99dcb4312dbe28fb7f102344c707dab82e8bf9cb
system_security.patch	system/security	152f7b0b83647e9c3b74c47fd6bfc423fd2ffe7f
system_vold.patch	system/vold	2711bf7059318aa6a61e37392a0aee6263bff0a0
vendor_lineage.patch	vendor/lineage	2e5d3690a9c2d7976b13334f91a0e33f4f053c68
